Agric_ONU_ID,Área,Elemento,Producto,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
0,España,Producción,"Aceite de colza, en bruto",2005,toneladas,6300.0,X,Cifra de fuente externa
1,España,Producción,"Aceite de colza, en bruto",2006,toneladas,34300.0,X,Cifra de fuente externa
2,España,Producción,"Aceite de colza, en bruto",2007,toneladas,28700.0,X,Cifra de fuente externa
3,España,Producción,"Aceite de colza, en bruto",2008,toneladas,37300.0,X,Cifra de fuente externa
4,España,Producción,"Aceite de colza, en bruto",2009,toneladas,42600.0,X,Cifra de fuente externa
5,España,Producción,"Aceite de colza, en bruto",2010,toneladas,45000.0,X,Cifra de fuente externa
6,España,Producción,"Aceite de colza, en bruto",2011,toneladas,34500.0,X,Cifra de fuente externa
7,España,Producción,"Aceite de colza, en bruto",2012,toneladas,36300.0,X,Cifra de fuente externa
8,España,Producción,"Aceite de colza, en bruto",2013,toneladas,36343.0,A,Cifra oficial
9,España,Producción,"Aceite de colza, en bruto",2014,toneladas,40922.0,X,Cifra de fuente externa
10,España,Producción,"Aceite de colza, en bruto",2015,toneladas,44400.0,X,Cifra de fuente externa
11,España,Producción,"Aceite de colza, en bruto",2016,toneladas,51000.0,X,Cifra de fuente externa
12,España,Producción,"Aceite de colza, en bruto",2017,toneladas,61800.0,X,Cifra de fuente externa
13,España,Producción,"Aceite de colza, en bruto",2018,toneladas,60800.0,X,Cifra de fuente externa
14,España,Producción,"Aceite de colza, en bruto",2019,toneladas,67200.0,X,Cifra de fuente externa
15,España,Producción,"Aceite de colza, en bruto",2020,toneladas,70700.0,X,Cifra de fuente externa
16,España,Producción,"Aceite de colza, en bruto",2021,toneladas,81800.0,X,Cifra de fuente externa
17,España,Producción,"Aceite de colza, en bruto",2022,toneladas,81100.0,X,Cifra de fuente externa
18,España,Producción,"Aceite de colza, en bruto",2023,toneladas,95300.0,X,Cifra de fuente externa
19,España,Producción,"Aceite de girasol, en bruto",2005,toneladas,381984.0,I,Valor imputado por una agencia receptora
20,España,Producción,"Aceite de girasol, en bruto",2006,toneladas,433877.6,I,Valor imputado por una agencia receptora
21,España,Producción,"Aceite de girasol, en bruto",2007,toneladas,370186.8,I,Valor imputado por una agencia receptora
22,España,Producción,"Aceite de girasol, en bruto",2008,toneladas,347806.4,I,Valor imputado por una agencia receptora
