,YEAR,PRECTOTCORR,RH2M,T2M,T2M_MAX,T2M_MIN
0,2005,0.9,58.25,13.34,39.85,-8.9
1,2006,1.33,62.97,13.91,38.0,-5.83
2,2007,1.18,65.07,12.61,38.82,-6.04
3,2008,1.44,64.42,12.79,38.23,-4.36
4,2009,1.02,60.31,13.88,37.81,-6.54
5,2010,1.52,66.36,12.56,37.81,-6.69
6,2011,1.14,62.62,14.0,38.71,-6.22
7,2012,0.96,59.47,13.32,40.87,-6.57
8,2013,1.13,64.8,12.7,37.94,-4.74
9,2014,1.34,63.07,13.88,37.22,-3.94
10,2015,0.87,59.58,14.31,39.5,-5.06
11,2016,1.48,63.61,13.79,39.73,-4.8
12,2017,0.85,58.26,14.44,40.0,-5.47
13,2018,1.69,66.56,13.42,40.02,-6.51
14,2019,1.09,59.35,14.18,40.15,-3.79
15,2020,1.56,66.98,14.0,39.39,-3.87
16,2021,1.45,66.68,13.4,40.97,-12.03
17,2022,1.24,60.72,15.09,41.35,-3.93
18,2023,1.6,63.06,14.43,39.48,-4.6
19,2024,1.33,65.83,14.42,40.08,-3.9
