Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01 Cereales grano,6578685.6932,6841004.457600001,6559612.2009000005,6372098.4346,6932675.6417000005,6209488.9795,6126669.210500002,6147707.208300001,6385885.879000001,6491272.989500001,6473150.406199998,6419243.240099999,6294934.232000001,6179983.229900001,6061021.332099999,6143006.090700001,6062895.424199998,6170884.5287,5946065.594599998,5708287.724299998,5521496.377299999
01010 TRIGO DURO,957372.532,1030478.9878000001,755048.9104999999,570296.5186,653189.7596000001,584911.3075000001,588307.9239000002,456399.97229999996,535605.5841,445589.2292,402863.8884,482838.18019999994,488086.36720000004,454281.4689999999,443649.01410000015,355374.478,333248.28890000004,330429.72539999994,374971.2099999999,328997.04309999995,308628.8707
0115 CORUÑA (LA),416.9314,914.7639,196.2455,8.2086,,,,,,,,,,,,,,,,,
0127 LUGO,113.2357,,397.7237,580.2053,,,,,,,,,,,,,,153.2132,35.2647,35.2647,35.2647
0132 ORENSE,,172.9853,446.8761,57.2321,,,,,,,,,,,,,,,,38.0071,
0136 PONTEVEDRA,95.297,95.297,24.2977,,,,,,,,,,,,,,,,,,
"0233 P,DE ASTURIAS",,,,,,,,,,,,,,,,,32.3654,,,,
0401 ALAVA,,16.5103,,,,,,438.3591,12.2161,,,,,,,,,,,,
0531 NAVARRA,15969.1647,13413.2615,8689.399300000001,6211.4198,6528.673699999999,5165.3144,7380.0927,4228.6063,6055.7678000000005,3159.7990999999997,7493.8234,2279.3225,2640.6111,1396.7646,42.0055,3427.9213,6295.3432,6537.5363,7979.1515,2086.9707,7150.1795999999995
0626 LA RIOJA,22.8576,48.5013,,,,,,,93.9983,22.4937,,,27.5505,,6.6396,,1359.1813,915.1304,,139.6667,
0722 HUESCA,5350.6048,7475.4691,5185.4566,1555.1235000000001,4122.7726,3146.9933,4400.1657,3061.557,1710.7605,924.0822000000001,178.2538,3348.2252,8937.4651,2817.6189,3095.0364,5064.9077,2501.3087,4347.0755,11384.314400000001,3741.5445999999997,4751.256
0744 TERUEL,952.5821,3243.5006,2088.2336,322.5815,1885.0594,2065.0017,1402.6004,560.578,285.5147,264.497,462.858,1457.2468,1137.1373,1711.6166,2804.7841,1203.7648,415.08579999999995,492.6054,154.9518,494.3086,1179.7497
0750 ZARAGOZA,222546.91139999998,241320.0586,188755.4609,173905.9381,181722.9376,174651.2772,161585.8292,133181.0716,119691.79149999999,104979.07280000001,89685.5836,105179.00499999999,128701.5383,112975.1881,86156.9416,70745.5721,53909.2803,62655.9337,48017.0353,61203.9335,56522.7061
0808 BARCELONA,126.1133,4950.1916,,,,,,24.6052,,,,30.9014,,,,,102.3168,,1022.023,539.2252,514.3985
0817 GIRONA,,92.8483,,,,,,,,8.5613,,,,,40.5123,,5.809,,2348.2056,116.4114,394.97270000000003
0825 LLEIDA,,,,,,,38.4178,56.3432,5.4324,43.5845,316.437,3.3677,,,,155.461,,,7975.1576,1540.4478,1308.0663
0843 TARRAGONA,,,,,,,,38.8413,,,187.8245,,,,,,,,693.0588,334.219,372.006
0907 BALEARES,73.8847,179.9134,76.8347,638.2552,881.0228,98.0974,,,134.1303,,124.0857,,14.6063,541.7657,67.8499,206.2568,531.2361,2860.3831,104.4194,2576.0436,48.1217
1005 AVILA,,,,,,,,,,2139.0978,9.1972,1521.4528,150.8037,359.5154,,,,,58.4679,,
1009 BURGOS,11543.3189,7684.5723,6439.6019,1348.8485,1443.9123,1935.4808,3623.8393,1802.657,827.6445,10.3216,142.903,194.6058,179.6508,339.2326,25.0126,38.0759,50.0831,10.32,248.2638,267.2179,1508.0725
1024 LEON,34.5773,29.7171,,,,,14.4942,25.469,1.0441,1.0441,1.0442,1.0442,143.3166,2915.4193999999998,568.2125,15.4382,752.8171,858.8542,75.5658,121.8699,4943.178199999999
1034 PALENCIA,,,,,,,198.0568,,,,,,234.7944,536.8918,,67.1869,135.5797,,213.8905,282.8777,
1037 SALAMANCA,2196.976,410.1397,587.2066,708.9113,,593.9527,,,124.163,4362.9387,,3557.7011,1168.3492,1667.7767999999999,156.5607,,135.004,119.9064,1968.3684,620.0882999999999,538.5568
1040 SEGOVIA,,,149.9561,10.2994,,48.1562,,,,,404.2969,208.4872,233.6223,69.1278,,34.234,56.8111,60.0239,69.5693,12.9272,
1042 SORIA,394.1905,516.3307,354.4626,383.0127,,,,6.9429,,,,20.0538,132.0386,229.869,,31.5622,,957.3662,801.9557,473.4935,57.9816
1047 VALLADOLID,317.4045,249.6652,443.6814,1369.0892000000001,1871.2164,175.3399,1153.6909,52.594,209.0087,,,48.0111,801.7481,3168.1527,1178.9208,1534.4748,430.8334,1060.2964,75.3029,273.1305,
1049 ZAMORA,233.1121,2015.9526,876.2894,3374.7093,4162.5755,2660.5792,2605.5928999999996,3045.5712999999996,2586.9481,6101.236999999999,2358.8785,3661.2119,,5041.6508,662.3505,865.6978,,257.6018,22.2294,9.817,
1128 MADRID,493.2486,13.5321,35.7474,,,,,136.6071,,,,,30.4255,1635.037,,,170.77429999999998,289.7991,32.0539,116.2291,17.0865
1202 ALBACETE,6917.6972000000005,4553.2939,1987.9207999999999,2993.5978999999998,4469.0051,762.3854,1268.609,5541.4963,14329.254700000001,10575.4542,15365.5862,15971.0671,18709.9373,8152.7962,10896.0446,11055.3973,3941.2891,2542.2019,7786.536099999999,5301.9241999999995,2885.526
1213 CIUDAD REAL,3539.7138999999997,1493.9923,7245.1469,710.2589,547.2696,559.9924,544.854,548.3119,519.6759999999999,514.0884,,544.6315,69.8832,837.6409,825.2588,2233.2844,1991.3958,1960.3899,1800.6774,516.5321,909.1034
