Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2005","2005","toneladas","6300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2006","2006","toneladas","34300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2007","2007","toneladas","28700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2008","2008","toneladas","37300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2009","2009","toneladas","42600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2010","2010","toneladas","45000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2011","2011","toneladas","34500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2012","2012","toneladas","36300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2013","2013","toneladas","36343","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2014","2014","toneladas","40922","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2015","2015","toneladas","44400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2016","2016","toneladas","51000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2017","2017","toneladas","61800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2018","2018","toneladas","60800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2019","2019","toneladas","67200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2020","2020","toneladas","70700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2021","2021","toneladas","81800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2022","2022","toneladas","81100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21641.01","Aceite de colza, en bruto","2023","2023","toneladas","95300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2005","2005","toneladas","381984","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2006","2006","toneladas","433877.6","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2007","2007","toneladas","370186.8","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2008","2008","toneladas","347806.4","I","Valor imputado por una agencia receptora",""
