-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2024 in LST
Location: Latitude  40.4168   Longitude -3.7038 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 779.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2005,0.08,1.34,0.6,0.84,0.62,0.73,0.01,0.18,0.28,3.19,1.89,1.09,0.9
PRECTOTCORR,2006,1.0,1.61,1.33,1.04,0.65,1.21,0.1,0.35,0.75,3.48,3.59,0.95,1.33
PRECTOTCORR,2007,0.64,1.77,0.81,2.56,3.0,1.29,0.04,0.46,0.4,1.6,1.17,0.51,1.18
PRECTOTCORR,2008,0.86,1.0,0.47,2.52,3.22,1.29,0.38,0.03,1.27,3.73,0.64,1.83,1.44
PRECTOTCORR,2009,1.57,1.52,0.7,1.13,0.79,0.54,0.01,0.19,0.39,1.28,0.73,3.34,1.02
PRECTOTCORR,2010,1.66,3.04,1.83,1.57,1.23,1.78,0.33,0.17,1.13,1.65,1.27,2.72,1.52
PRECTOTCORR,2011,1.42,1.2,2.05,2.21,1.46,0.64,0.18,0.53,0.04,0.99,2.58,0.38,1.14
PRECTOTCORR,2012,0.33,0.34,0.59,2.65,0.92,0.08,0.17,0.13,2.2,1.36,2.33,0.53,0.96
PRECTOTCORR,2013,1.81,1.2,3.5,1.35,1.39,0.22,0.15,0.15,0.54,1.43,0.5,1.32,1.13
PRECTOTCORR,2014,1.75,1.8,1.26,1.23,0.56,0.46,0.55,0.11,1.29,2.72,3.49,0.95,1.34
PRECTOTCORR,2015,0.99,1.27,1.14,1.57,0.07,1.36,0.16,0.53,0.66,1.39,1.17,0.18,0.87
PRECTOTCORR,2016,1.87,2.18,1.58,3.34,2.13,0.17,0.35,0.03,0.36,1.99,2.98,0.82,1.48
PRECTOTCORR,2017,0.61,1.83,0.84,0.56,1.1,0.68,1.39,1.01,0.02,0.69,0.43,1.03,0.85
PRECTOTCORR,2018,1.95,2.13,4.75,2.48,1.99,1.27,0.08,0.11,0.68,2.0,2.43,0.44,1.69
PRECTOTCORR,2019,0.73,0.22,0.39,2.74,0.17,0.11,0.3,1.2,1.16,1.29,2.27,2.44,1.09
PRECTOTCORR,2020,0.85,0.07,2.57,3.03,2.05,0.56,0.35,0.76,1.9,2.29,1.98,2.28,1.56
PRECTOTCORR,2021,2.05,1.86,0.14,3.05,0.54,1.48,0.26,0.16,2.47,3.32,1.15,0.98,1.45
PRECTOTCORR,2022,0.44,0.27,3.32,2.14,0.26,0.09,0.15,0.15,1.15,1.16,1.65,3.99,1.24
PRECTOTCORR,2023,0.97,0.14,0.73,0.34,1.88,2.19,0.07,1.17,4.18,4.54,1.44,1.5,1.6
PRECTOTCORR,2024,2.29,1.17,2.99,0.41,0.6,1.48,0.08,1.14,1.01,3.83,0.68,0.18,1.33
RH2M,2005,75.46,73.45,68.24,61.26,47.41,37.76,30.5,32.45,40.66,66.58,81.99,84.39,58.25
RH2M,2006,86.11,75.7,77.48,66.17,52.4,42.68,32.14,37.61,48.23,70.03,86.25,81.74,62.97
RH2M,2007,84.47,83.92,72.67,74.3,67.78,58.6,39.65,39.72,50.13,66.18,64.82,80.07,65.07
RH2M,2008,80.96,78.93,65.6,64.18,67.72,56.07,38.61,33.46,53.16,67.59,81.75,85.81,64.42
RH2M,2009,86.17,80.23,66.5,64.84,51.98,43.18,28.58,32.6,49.15,60.21,77.44,84.53,60.31
RH2M,2010,87.37,84.43,78.84,74.07,65.52,56.78,38.44,36.63,52.02,61.84,78.93,83.04,66.36
RH2M,2011,86.09,78.22,79.86,69.58,61.45,47.88,35.88,36.58,39.88,52.32,81.73,83.15,62.62
RH2M,2012,80.34,63.4,58.09,69.32,54.66,39.08,30.45,30.46,47.01,67.86,85.18,88.08,59.47
RH2M,2013,84.69,81.72,84.25,73.6,65.02,51.28,35.0,35.31,46.51,68.29,75.53,77.66,64.8
RH2M,2014,86.11,83.75,69.98,65.56,49.9,41.37,39.29,35.16,51.84,67.88,84.01,83.66,63.07
RH2M,2015,78.89,80.33,69.78,65.61,49.44,43.22,29.31,36.25,48.56,68.15,70.99,76.09,59.58
RH2M,2016,87.48,78.24,73.09,73.27,66.75,47.85,35.26,33.21,42.53,60.05,82.0,84.3,63.61
RH2M,2017,82.08,80.96,70.69,56.99,53.26,39.36,39.38,35.78,44.56,51.15,65.43,80.85,58.26
RH2M,2018,83.89,75.77,81.4,76.71,68.2,60.53,40.16,36.54,50.01,63.3,82.33,80.86,66.56
RH2M,2019,77.16,70.33,59.44,67.47,50.04,34.62,31.55,37.19,53.71,64.52,84.51,82.86,59.35
RH2M,2020,83.48,78.99,75.29,79.8,67.73,53.39,36.73,38.76,51.4,69.53,81.18,88.14,66.98
RH2M,2021,89.13,86.38,72.82,71.92,63.85,53.78,37.15,34.44,60.38,64.25,81.01,86.94,66.68
RH2M,2022,75.02,72.38,77.75,70.5,55.57,37.21,28.23,32.84,49.14,61.27,79.15,90.48,60.72
RH2M,2023,82.22,75.51,70.05,53.45,53.96,59.04,31.88,34.03,63.39,66.61,84.53,83.53,63.06
RH2M,2024,86.45,80.72,79.84,68.7,59.44,52.73,32.92,35.47,55.56,74.81,81.35,82.75,65.83
T2M,2005,2.95,2.19,7.77,11.75,17.43,24.37,25.89,24.68,19.48,13.87,5.86,3.04,13.34
T2M,2006,2.27,3.6,8.29,12.56,17.84,22.46,26.71,23.47,20.57,15.3,9.55,3.58,13.91
T2M,2007,3.79,6.3,6.83,10.6,14.41,18.77,23.58,23.0,19.77,13.18,6.86,3.82,12.61
T2M,2008,5.42,6.45,8.03,11.81,13.68,19.73,23.69,24.66,18.45,12.81,5.31,3.22,12.79
T2M,2009,2.57,4.63,8.82,10.05,17.3,22.43,25.63,26.09,19.98,15.54,8.73,4.11,13.88
